Gmt time,Open,High,Low,Close,Volume
05.07.2021 07:15:00.000,1.18580,1.18582,1.18520,1.18544,1545490009.3075995
05.07.2021 07:30:00.000,1.18544,1.18722,1.18533,1.18677,1699760009.7657
05.07.2021 07:45:00.000,1.18676,1.18732,1.18664,1.18717,1083829994.2016
05.07.2021 08:00:00.000,1.18718,1.18732,1.18680,1.18710,968010005.951
05.07.2021 08:15:00.000,1.18709,1.18716,1.18676,1.18687,760289997.1007
05.07.2021 08:30:00.000,1.18684,1.18726,1.18648,1.18723,1013070003.5096
05.07.2021 08:45:00.000,1.18724,1.18731,1.18686,1.18703,894450000.7627001
05.07.2021 09:00:00.000,1.18701,1.18748,1.18694,1.18739,1006990016.9373999
05.07.2021 09:15:00.000,1.18739,1.18767,1.18717,1.18767,719590000.1527001
05.07.2021 09:30:00.000,1.18767,1.18803,1.18748,1.18793,945620008.4687
05.07.2021 09:45:00.000,1.18793,1.18796,1.18749,1.18760,543230009.079
05.07.2021 10:00:00.000,1.18760,1.18789,1.18721,1.18764,791980005.2642001
05.07.2021 10:15:00.000,1.18765,1.18765,1.18689,1.18718,930780004.5013999
05.07.2021 10:30:00.000,1.18721,1.18777,1.18715,1.18775,630089994.4304
05.07.2021 10:45:00.000,1.18774,1.18797,1.18756,1.18768,809490001.6783001
05.07.2021 11:00:00.000,1.18768,1.18804,1.18766,1.18771,927810014.7249
05.07.2021 11:15:00.000,1.18772,1.18788,1.18724,1.18726,741090003.9672
05.07.2021 11:30:00.000,1.18730,1.18737,1.18683,1.18687,664860000.6104
05.07.2021 11:45:00.000,1.18688,1.18727,1.18688,1.18724,654810001.3733999
05.07.2021 12:00:00.000,1.18723,1.18724,1.18652,1.18655,753240004.5395
05.07.2021 12:15:00.000,1.18656,1.18656,1.18600,1.18624,938069997.7874002
05.07.2021 12:30:00.000,1.18625,1.18678,1.18625,1.18662,508879999.16090006
05.07.2021 12:45:00.000,1.18661,1.18679,1.18617,1.18632,638320004.4633
05.07.2021 13:00:00.000,1.18632,1.18660,1.18606,1.18641,1009879991.5309999
05.07.2021 13:15:00.000,1.18640,1.18641,1.18602,1.18606,802959999.0844
05.07.2021 13:30:00.000,1.18606,1.18646,1.18605,1.18645,523549997.32969993
05.07.2021 13:45:00.000,1.18646,1.18653,1.18612,1.18651,602269992.8282999
05.07.2021 14:00:00.000,1.18651,1.18654,1.18554,1.18581,1231849979.4005
05.07.2021 14:15:00.000,1.18579,1.18605,1.18560,1.18585,556420003.8910999
05.07.2021 14:30:00.000,1.18585,1.18614,1.18572,1.18608,494569999.69490004
05.07.2021 14:45:00.000,1.18606,1.18638,1.18588,1.18617,709960005.7602001
05.07.2021 15:00:00.000,1.18619,1.18651,1.18613,1.18647,596479993.8201001
05.07.2021 15:15:00.000,1.18646,1.18666,1.18621,1.18639,400739999.7712
05.07.2021 15:30:00.000,1.18640,1.18672,1.18632,1.18661,581570004.4632
05.07.2021 15:45:00.000,1.18661,1.18673,1.18626,1.18660,520709993.83930004
05.07.2021 16:00:00.000,1.18659,1.18676,1.18656,1.18671,440079993.963
05.07.2021 16:15:00.000,1.18670,1.18676,1.18643,1.18662,543849992.2752
05.07.2021 16:30:00.000,1.18662,1.18688,1.18657,1.18683,383969999.7902
05.07.2021 16:45:00.000,1.18684,1.18692,1.18669,1.18677,357770002.3651
05.07.2021 17:00:00.000,1.18676,1.18678,1.18662,1.18677,524380003.45210004
05.07.2021 17:15:00.000,1.18675,1.18692,1.18667,1.18674,577090010.1664
05.07.2021 17:30:00.000,1.18673,1.18681,1.18671,1.18680,389839999.67579997
05.07.2021 17:45:00.000,1.18678,1.18681,1.18661,1.18675,565100000.3815
05.07.2021 18:00:00.000,1.18675,1.18686,1.18666,1.18675,414340001.1063
05.07.2021 18:15:00.000,1.18675,1.18684,1.18669,1.18681,644980006.218
05.07.2021 18:30:00.000,1.18681,1.18688,1.18663,1.18681,975260007.8584
05.07.2021 18:45:00.000,1.18680,1.18692,1.18670,1.18685,1239149997.7112
05.07.2021 19:00:00.000,1.18685,1.18696,1.18675,1.18676,915860004.425
05.07.2021 19:15:00.000,1.18676,1.18697,1.18653,1.18663,3581109943.3898997
05.07.2021 19:30:00.000,1.18663,1.18674,1.18653,1.18662,999099994.7787999
05.07.2021 19:45:00.000,1.18664,1.18667,1.18644,1.18644,599749997.0198
05.07.2021 20:00:00.000,1.18645,1.18651,1.18635,1.18637,473559993.0287
05.07.2021 20:15:00.000,1.18637,1.18639,1.18634,1.18638,141960001.58820003
05.07.2021 20:30:00.000,1.18637,1.18641,1.18614,1.18623,206129999.2205
05.07.2021 20:45:00.000,1.18623,1.18629,1.18603,1.18620,283489998.5343
05.07.2021 21:00:00.000,1.18620,1.18620,1.18600,1.18620,51685000.65799999
05.07.2021 21:15:00.000,1.18620,1.18629,1.18620,1.18629,67370000.36230001
05.07.2021 21:30:00.000,1.18629,1.18630,1.18604,1.18630,84790001.1539
05.07.2021 21:45:00.000,1.18629,1.18639,1.18616,1.18620,90380000.77000001
05.07.2021 22:00:00.000,1.18620,1.18662,1.18620,1.18660,486129992.96190006
05.07.2021 22:15:00.000,1.18660,1.18690,1.18615,1.18621,769100008.4878999
05.07.2021 22:30:00.000,1.18622,1.18652,1.18597,1.18642,396709999.08440006
05.07.2021 22:45:00.000,1.18641,1.18652,1.18638,1.18643,150860000.13340002
05.07.2021 23:00:00.000,1.18642,1.18652,1.18628,1.18634,203410000.32430002
05.07.2021 23:15:00.000,1.18633,1.18657,1.18633,1.18638,336200001.7166
05.07.2021 23:30:00.000,1.18638,1.18652,1.18637,1.18639,205440000.0572
05.07.2021 23:45:00.000,1.18638,1.18658,1.18611,1.18624,391989999.7710999
06.07.2021 00:00:00.000,1.18623,1.18664,1.18601,1.18657,795399999.6186
06.07.2021 00:15:00.000,1.18658,1.18658,1.18604,1.18604,440519995.68930006
06.07.2021 00:30:00.000,1.18604,1.18638,1.18603,1.18624,308070000.1718
06.07.2021 00:45:00.000,1.18626,1.18642,1.18604,1.18604,581559995.6513
06.07.2021 01:00:00.000,1.18605,1.18614,1.18583,1.18585,541690002.4414
06.07.2021 01:15:00.000,1.18583,1.18615,1.18583,1.18606,332819997.78749996
06.07.2021 01:30:00.000,1.18607,1.18638,1.18593,1.18629,522799998.2833
06.07.2021 01:45:00.000,1.18628,1.18669,1.18618,1.18655,817469991.6839001
06.07.2021 02:00:00.000,1.18655,1.18694,1.18655,1.18687,675789997.1006999
06.07.2021 02:15:00.000,1.18687,1.18694,1.18663,1.18666,461169994.59270006
06.07.2021 02:30:00.000,1.18667,1.18675,1.18657,1.18666,373820001.6024
06.07.2021 02:45:00.000,1.18666,1.18719,1.18664,1.18718,373179992.67579997
06.07.2021 03:00:00.000,1.18716,1.18737,1.18702,1.18734,611450001.7167001
06.07.2021 03:15:00.000,1.18731,1.18744,1.18717,1.18741,455340000.1526001
06.07.2021 03:30:00.000,1.18740,1.18748,1.18726,1.18744,537759998.3215
06.07.2021 03:45:00.000,1.18743,1.18753,1.18732,1.18735,397579998.9699
06.07.2021 04:00:00.000,1.18735,1.18745,1.18727,1.18734,312740000.0093
06.07.2021 04:15:00.000,1.18736,1.18739,1.18716,1.18728,266909999.37049997
06.07.2021 04:30:00.000,1.18728,1.18757,1.18699,1.18716,1205560016.6321
06.07.2021 04:45:00.000,1.18715,1.18742,1.18711,1.18741,422180001.73590004
06.07.2021 05:00:00.000,1.18741,1.18778,1.18738,1.18776,446850004.1961
06.07.2021 05:15:00.000,1.18775,1.18788,1.18770,1.18775,372589998.7221
06.07.2021 05:30:00.000,1.18774,1.18796,1.18773,1.18789,487780004.5013999
06.07.2021 05:45:00.000,1.18789,1.18829,1.18779,1.18826,473569999.69470006
06.07.2021 06:00:00.000,1.18825,1.18951,1.18803,1.18936,2921689987.1827006
06.07.2021 06:15:00.000,1.18935,1.18947,1.18902,1.18921,1930770019.5312002
06.07.2021 06:30:00.000,1.18920,1.18927,1.18884,1.18910,1155379993.4389
06.07.2021 06:45:00.000,1.18909,1.18918,1.18876,1.18902,916839996.3379
06.07.2021 07:00:00.000,1.18902,1.18923,1.18855,1.18855,2177729972.8395004
06.07.2021 07:15:00.000,1.18854,1.18872,1.18819,1.18862,1864739986.4198003
06.07.2021 07:30:00.000,1.18863,1.18869,1.18757,1.18767,1189470006.9426003
06.07.2021 07:45:00.000,1.18770,1.18810,1.18703,1.18721,1305549991.6076
06.07.2021 08:00:00.000,1.18719,1.18738,1.18601,1.18609,2607469993.5915
06.07.2021 08:15:00.000,1.18607,1.18613,1.18456,1.18484,2464860000.6105
06.07.2021 08:30:00.000,1.18485,1.18500,1.18424,1.18480,2611619972.2289996
06.07.2021 08:45:00.000,1.18478,1.18522,1.18442,1.18452,1853349998.4741
06.07.2021 09:00:00.000,1.18452,1.18510,1.18411,1.18421,2103379989.6239002
06.07.2021 09:15:00.000,1.18423,1.18426,1.18363,1.18394,1372739986.4197004
06.07.2021 09:30:00.000,1.18393,1.18393,1.18310,1.18355,1134090000.1526
06.07.2021 09:45:00.000,1.18356,1.18402,1.18350,1.18400,1194610015.8691
06.07.2021 10:00:00.000,1.18400,1.18443,1.18374,1.18421,1669990024.5667
06.07.2021 10:15:00.000,1.18421,1.18463,1.18416,1.18416,976659996.0326002
06.07.2021 10:30:00.000,1.18417,1.18458,1.18400,1.18457,713730007.1717001
06.07.2021 10:45:00.000,1.18460,1.18463,1.18390,1.18395,738700000.7627999
06.07.2021 11:00:00.000,1.18395,1.18420,1.18388,1.18390,848839984.8937001
06.07.2021 11:15:00.000,1.18394,1.18462,1.18383,1.18462,1030849998.4742
06.07.2021 11:30:00.000,1.18464,1.18465,1.18411,1.18413,1270699993.1337001
06.07.2021 11:45:00.000,1.18415,1.18424,1.18369,1.18401,1423119998.9318
06.07.2021 12:00:00.000,1.18400,1.18442,1.18373,1.18380,1225219997.4060001
06.07.2021 12:15:00.000,1.18380,1.18422,1.18361,1.18404,1382759998.3213
06.07.2021 12:30:00.000,1.18404,1.18464,1.18388,1.18435,2031000000
06.07.2021 12:45:00.000,1.18436,1.18440,1.18331,1.18360,1686769992.8281999
06.07.2021 13:00:00.000,1.18359,1.18375,1.18225,1.18251,2703189994.8121996
06.07.2021 13:15:00.000,1.18251,1.18318,1.18232,1.18307,2160440010.071
06.07.2021 13:30:00.000,1.18306,1.18328,1.18249,1.18271,2294660003.6621
06.07.2021 13:45:00.000,1.18271,1.18355,1.18267,1.18325,2282400001.5257998
06.07.2021 14:00:00.000,1.18330,1.18426,1.18320,1.18425,3297969970.7031994
06.07.2021 14:15:00.000,1.18422,1.18422,1.18243,1.18243,3459719970.7031994
06.07.2021 14:30:00.000,1.18242,1.18335,1.18206,1.18296,2785659996.0326996
06.07.2021 14:45:00.000,1.18295,1.18310,1.18215,1.18290,2409819992.0656004
06.07.2021 15:00:00.000,1.18292,1.18301,1.18178,1.18187,1853769966.1253
06.07.2021 15:15:00.000,1.18189,1.18305,1.18158,1.18294,1511530021.6676
06.07.2021 15:30:00.000,1.18295,1.18307,1.18196,1.18198,1242150009.1553001
06.07.2021 15:45:00.000,1.18199,1.18200,1.18130,1.18165,1639490001.6785
06.07.2021 16:00:00.000,1.18166,1.18195,1.18114,1.18124,1729910026.5503001
06.07.2021 16:15:00.000,1.18125,1.18149,1.18068,1.18140,1142179985.0463002
06.07.2021 16:30:00.000,1.18141,1.18156,1.18074,1.18150,1181649999.6184
06.07.2021 16:45:00.000,1.18151,1.18168,1.18100,1.18145,707639999.39
06.07.2021 17:00:00.000,1.18147,1.18188,1.18131,1.18179,528230000.4958999
06.07.2021 17:15:00.000,1.18179,1.18202,1.18146,1.18197,506559999.4658
06.07.2021 17:30:00.000,1.18195,1.18195,1.18159,1.18187,565219999.3132999
06.07.2021 17:45:00.000,1.18187,1.18237,1.18184,1.18232,558960003.8528
06.07.2021 18:00:00.000,1.18230,1.18247,1.18223,1.18223,478809994.69769996
06.07.2021 18:15:00.000,1.18222,1.18235,1.18216,1.18235,421740002.63220006
06.07.2021 18:30:00.000,1.18238,1.18267,1.18238,1.18247,302509999.03669995
06.07.2021 18:45:00.000,1.18245,1.18263,1.18226,1.18235,491669992.4468
06.07.2021 19:00:00.000,1.18234,1.18244,1.18220,1.18239,349890004.15799993
06.07.2021 19:15:00.000,1.18239,1.18245,1.18211,1.18245,314419998.6458
06.07.2021 19:30:00.000,1.18243,1.18272,1.18216,1.18263,395720004.0817
06.07.2021 19:45:00.000,1.18264,1.18279,1.18218,1.18221,485010000.5866
06.07.2021 20:00:00.000,1.18222,1.18249,1.18200,1.18202,258609999.65660003
06.07.2021 20:15:00.000,1.18203,1.18241,1.18202,1.18241,100130001.5451
06.07.2021 20:30:00.000,1.18242,1.18248,1.18231,1.18246,99469999.79020001
06.07.2021 20:45:00.000,1.18247,1.18247,1.18213,1.18234,425390000.4627
06.07.2021 21:00:00.000,1.18231,1.18244,1.18206,1.18224,378090004.623
06.07.2021 21:15:00.000,1.18223,1.18226,1.18160,1.18209,141100002.64650002
06.07.2021 21:30:00.000,1.18209,1.18227,1.18209,1.18216,297829998.73149997
06.07.2021 21:45:00.000,1.18217,1.18218,1.18208,1.18210,270200003.14710003
06.07.2021 22:00:00.000,1.18210,1.18226,1.18209,1.18220,307020002.4845
06.07.2021 22:15:00.000,1.18220,1.18220,1.18200,1.18210,201799996.49509996
06.07.2021 22:30:00.000,1.18209,1.18209,1.18180,1.18197,367429999.3514
06.07.2021 22:45:00.000,1.18196,1.18207,1.18192,1.18199,256339998.24519998
06.07.2021 23:00:00.000,1.18196,1.18204,1.18192,1.18202,394919999.59940004
06.07.2021 23:15:00.000,1.18202,1.18217,1.18196,1.18213,225270001.64999998
06.07.2021 23:30:00.000,1.18215,1.18248,1.18206,1.18245,261069997.31049997
06.07.2021 23:45:00.000,1.18244,1.18244,1.18213,1.18221,252380001.7834
07.07.2021 00:00:00.000,1.18222,1.18233,1.18175,1.18198,876880001.0678998
07.07.2021 00:15:00.000,1.18197,1.18201,1.18155,1.18195,521299995.42240006
07.07.2021 00:30:00.000,1.18194,1.18215,1.18182,1.18211,719430000.3053
07.07.2021 00:45:00.000,1.18210,1.18219,1.18170,1.18207,1202960014.3432002
07.07.2021 01:00:00.000,1.18207,1.18220,1.18175,1.18194,941610012.0543997
07.07.2021 01:15:00.000,1.18195,1.18220,1.18177,1.18208,1869759990.6919003
07.07.2021 01:30:00.000,1.18210,1.18212,1.18177,1.18205,1029679979.3243
07.07.2021 01:45:00.000,1.18206,1.18237,1.18201,1.18229,1002350006.1037
07.07.2021 02:00:00.000,1.18229,1.18250,1.18223,1.18232,585530001.6404
07.07.2021 02:15:00.000,1.18233,1.18244,1.18218,1.18235,660060001.3732
07.07.2021 02:30:00.000,1.18234,1.18242,1.18213,1.18216,351850004.1962
07.07.2021 02:45:00.000,1.18217,1.18231,1.18192,1.18196,546240003.5859001
07.07.2021 03:00:00.000,1.18198,1.18211,1.18186,1.18205,375309998.03540003
07.07.2021 03:15:00.000,1.18206,1.18229,1.18199,1.18223,285720004.5586
